D915.3/2001|#|Criminal Procedure|#|Joseph G. Cook|#|Matthew Bender & Co|#||#||#|在馆
D912.22/1994|#|Federal Taxation of Estates,Trusts and Gifts|#|Lewis d. Solomon&Ira Mark Bloom&John.t.Gaubatz|#|Matthew Bender&Company|#||#|256147558|#|在馆
D912.22/2013|#|Selected Federal Taxation Statutes and Regulations(2014 edition)|#|Daniel J.Lathrope|#|West group|#|2013|#|9780314288981|#|在馆
D994/1988|#|Dispute resolution and lawyers|#|Leonard L.Riskin|#|West Publishing|#|1988|#|9780314689634|#|在馆
D912.104/1990|#|Law enforcement patrol operations: police systems and practices|#|Larry D.Nichols|#||#|1990|#||#|在馆
D913.9/1991|#|Family Law(third edition)|#|William P. Stasky|#|West Publishing|#|1991|#|9780314718518|#|在馆
D915/712/1985|#|Manual for complex litigation (second edition)|#|St.Paul,Minnesota|#|West Publishing|#|1985|#||#|在馆
D912.5/1993|#|Employment law :selected statutes|#|Charles A.Sullivan|#||#|1993|#|9780316822091|#|在馆
D915.3/712/1992|#|American criminal procedure(fourth edition)|#|Stephen A. Saltzburg|#|West Publishing|#|1992|#|9780314003515|#|在馆
D913.4/1993|#|Selected intellectual property and unfair competition(1995 edition)|#|Roger E.Schechter|#|West Publishing|#|1993|#|9780314068774|#|在馆
D911.05/1992|#|Constitutional interpretation(5th edition)|#|Craig R. Ducat|#|West Publishing|#|1992|#||#|在馆
D913.9/1991|#|Blond's family law|#|Neil C. Blond|#||#|1991|#||#|在馆
D912.229/1994|#|Federal estate and giff taxes|#|CCH Tax Law Editors|#|CCH Incorporated|#|1994|#|978280801118|#|在馆
C934-05/1985|#|Making ethical decisions|#|Norman E.Bowie|#|McGraw-Hill Book Company|#|1985|#|70067449|#|在馆
D911.02/711/1992|#|The Canadian Constitution in Historical Perspective|#|Bayard Reesor|#|Prentice Hall|#|1992|#|9780131187610|#|在馆
D913.8/1988|#|Products liability|#|David A. Fischer|#|West Publishing|#|1988|#||#|在馆
D913.4/1993|#|Selected intellectual property and unfair competition(1995 edition)|#|Roger E.Schechter|#|West Publishing|#|1993|#|9780314068774|#|在馆
D913.43/2007|#|Trademark and Unfair Competition Law:Cases and Materials(4th edition)|#|Jane C.ginsburg|#|Foundation Press|#|2007|#|9781599410487|#|在馆
D915.2/1993|#|Civil procedure supplement|#|John J.Cound|#||#|1993|#|9780314025289|#|在馆
D912.3/1990|#|Planning and control of land development|#|Danie  R. Mandelker|#|The Michie Company|#|1990|#|9780874736694|#|在馆
